,Descripcio,Nom_comercial,Codi_carrer,Nom_carrer,Numero_inf,Lletra_inf,Accessori_inf,Numero_sup,Lletra_sup, Accessori_sup,Escala,Pis,Porta,Id_edifici,Sector,utm_x_etrs89, utm_y_etrs89,lon,lat,Year
3413,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,7,-,N,-,-,N,-,4,-,5750,Barri Vell,485464.0,4647991.0,"2,82452636","41,98378695",2022
3458,HABITATGE D'ÚS TURÍSTIC,GIRONA CENTRE,386,Carrer del Migdia,4,-,N,-,-,N,-,1,4,1325,Eixample Nord,485189.0,4647351.0,"2,82122280","41,97801757",2022
3463,HABITATGE D'ÚS TURÍSTIC,-,386,Carrer del Migdia,6,-,N,-,-,N,-,1,3,1326,Eixample Nord,485178.0,4647323.0,"2,82109073","41,97776517",2022
3566,HABITATGE D'ÚS TURÍSTIC,-,386,Carrer del Migdia,77,-,N,-,-,N,-,2,1,1859,Eixample Sud,485113.0,4646736.0,"2,82032101","41,97247704",2022
3612,HABITATGE D'ÚS TURÍSTIC,SLEEPINGIRONA.COM,389,Carrer de Guillem Minali,2,-,N,-,-,N,-,2,-,5793,Barri Vell,485532.0,4648037.0,"2,82534610","41,98420250",2022
3647,HABITATGE D'ÚS TURÍSTIC,CAN GEPETA,397,Carrer de les Monges,21,-,N,-,-,N,-,-,-,10327,Sant Daniel,486311.0,4648714.0,"2,83473417","41,99031393",2022
3649,HABITATGE D'ÚS TURÍSTIC,-,397,Carrer de les Monges,23,-,N,-,-,N,-,-,-,10328,Sant Daniel,486316.0,4648711.0,"2,83479461","41,99028700",2022
3712,HABITATGE D'ÚS TURÍSTIC,-,409,Carrer de Montori,23,-,N,-,-,N,-,-,4,12036,Montilivi,486071.0,4646690.0,"2,83188465","41,97208024",2022
3734,HABITATGE D'ÚS TURÍSTIC,-,412,Carrer d'en Mora,4,-,N,-,-,N,-,1,-,41,Barri Vell,485575.0,4647861.0,"2,82586950","41,98261812",2022
3735,HABITATGE D'ÚS TURÍSTIC,-,412,Carrer d'en Mora,4,-,N,-,-,N,-,2,-,41,Barri Vell,485575.0,4647861.0,"2,82586950","41,98261812",2022
3736,HABITATGE D'ÚS TURÍSTIC,-,412,Carrer d'en Mora,12,-,N,-,-,N,-,BS,-,52,Barri Vell,485594.0,4647891.0,"2,82609812","41,98288867",2022
3758,HABITATGE D'ÚS TURÍSTIC,-,417,Carrer de la Muntanya,28,-,N,-,-,N,-,-,-,387,Carme,485582.0,4647454.0,"2,82596398","41,97895254",2022
3760,HABITATGE D'ÚS TURÍSTIC,-,418,Carrer de la Muralla,3,-,N,-,-,N,-,1,-,10154,Torre Gironella,485883.0,4648260.0,"2,82957791","41,98621736",2022
3806,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,1,1,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3807,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,1,2,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3808,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,1,3,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3809,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,2,1,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3810,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,2,2,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3811,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,3,1,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3812,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,3,2,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3813,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,8,-,N,10,-,N,-,3,3,11896,Mercadal,485329.0,4648133.0,"2,82289315","41,98506339",2022
3826,HABITATGE D'ÚS TURÍSTIC,-,426,Carrer del Nord,17,-,N,-,-,N,-,4,2,3836,Mercadal,485281.0,4648172.0,"2,82231273","41,98541375",2022
3835,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,3,-,N,-,-,N,-,3,1,3673,Mercadal,485299.0,4647859.0,"2,82253785","41,98259501",2022
3836,HABITATGE D'ÚS TURÍSTIC,STAYINGIRONA,427,Carrer Nou,3,-,N,-,-,N,-,AT,2,3673,Mercadal,485299.0,4647859.0,"2,82253785","41,98259501",2022
3839,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,4,-,N,-,-,N,-,1,2,3695,Mercadal,485282.0,4647883.0,"2,82233204","41,98281085",2022
3856,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,6,-,N,-,-,N,-,PR,1,3696,Mercadal,485258.0,4647884.0,"2,82204230","41,98281941",2022
3863,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,8,-,N,-,-,N,-,5,2,3696,Mercadal,485258.0,4647884.0,"2,82204230","41,98281941",2022
3870,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,10,-,N,-,-,N,-,2,1,3697,Mercadal,485234.0,4647884.0,"2,82175258","41,98281896",2022
3895,HABITATGE D'ÚS TURÍSTIC,-,427,Carrer Nou,20,-,N,-,-,N,-,1,2,3685,Mercadal,485130.0,4647875.0,"2,82049738","41,98273594",2022
3927,HABITATGE D'ÚS TURÍSTIC,-,428,Carrer Nou del Teatre,9,-,N,-,-,N,-,3,-,42,Barri Vell,485573.0,4647858.0,"2,82584543","41,98259107",2022
3928,HABITATGE D'ÚS TURÍSTIC,-,428,Carrer Nou del Teatre,20,-,N,-,-,N,-,4,2,66,Barri Vell,485575.0,4647844.0,"2,82586992","41,98246501",2022
3941,HABITATGE D'ÚS TURÍSTIC,-,431,Carrer de Miquel Oliva i Prat,11,-,N,-,-,N,-,1,-,5905,Barri Vell,485578.0,4648265.0,"2,82589580","41,98625686",2022
3942,HABITATGE D'ÚS TURÍSTIC,-,431,Carrer de Miquel Oliva i Prat,11,-,N,-,-,N,-,3,-,5905,Barri Vell,485578.0,4648265.0,"2,82589580","41,98625686",2022
3943,HABITATGE D'ÚS TURÍSTIC,-,431,Carrer de Miquel Oliva i Prat,11,-,N,-,-,N,-,BS,-,5905,Barri Vell,485578.0,4648265.0,"2,82589580","41,98625686",2022
3955,HABITATGE D'ÚS TURÍSTIC,AG GIRONA,432,Carrer de l'Olivera,24,-,N,-,-,N,-,BS,2,12032,Carme,485644.0,4647123.0,"2,82672045","41,97597247",2022
4040,HABITATGE D'ÚS TURÍSTIC,-,438,Carrer d'Oviedo,6,-,N,-,-,N,-,1,2,9200,Eixample Sud,484556.0,4646961.0,"2,81359241","41,97449282",2022
4045,HABITATGE D'ÚS TURÍSTIC,-,438,Carrer d'Oviedo,10,-,N,-,-,N,-,BS,2,4676,Eixample Sud,484566.0,4646935.0,"2,81371379","41,97425884",2022
4058,HABITATGE D'ÚS TURÍSTIC,-,440,Carrer de Palafrugell,22,-,N,24,-,N,-,2,2,6653,Pedret,485556.0,4648884.0,"2,82561500","41,99183157",2022
4125,HABITATGE D'ÚS TURÍSTIC,-,449,Carrer de Pau Casals,26,-,N,-,-,N,-,1,2,4193,Eixample Nord,484502.0,4647911.0,"2,81291559","41,98304808",2022
4127,HABITATGE D'ÚS TURÍSTIC,-,449,Carrer de Pau Casals,32,-,N,-,-,N,-,1,4,4194,Eixample Nord,484437.0,4647878.0,"2,81213182","41,98274958",2022
4128,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS PAU CASALS,449,Carrer de Pau Casals,32,-,N,-,-,N,-,3,4,4194,Eixample Nord,484437.0,4647878.0,"2,81213182","41,98274958",2022
4129,HABITATGE D'ÚS TURÍSTIC,-,449,Carrer de Pau Casals,32,-,N,-,-,N,-,4,3,4194,Eixample Nord,484437.0,4647878.0,"2,81213182","41,98274958",2022
4130,HABITATGE D'ÚS TURÍSTIC,-,449,Carrer de Pau Casals,32,-,N,-,-,N,-,5,8,4194,Eixample Nord,484437.0,4647878.0,"2,81213182","41,98274958",2022
4137,HABITATGE D'ÚS TURÍSTIC,-,452,Pujada de les Pedreres,4,-,N,-,-,N,-,3,2,402,Carme,485479.0,4647626.0,"2,82471645","41,98049979",2022
4142,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,1,-,N,-,-,N,-,2,4,6287,Pedret,485560.0,4648717.0,"2,82566740","41,99032754",2022
4146,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,6,-,N,-,-,N,-,1,2,6290,Pedret,485609.0,4648757.0,"2,82625799","41,99068870",2022
4147,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,6,-,N,-,-,N,-,2,2,6290,Pedret,485609.0,4648757.0,"2,82625799","41,99068870",2022
4148,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,6,-,N,-,-,N,-,BS,1,6290,Pedret,485609.0,4648757.0,"2,82625799","41,99068870",2022
4153,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,41,-,N,-,-,N,-,-,-,6656,Pedret,485583.0,4648897.0,"2,82594066","41,99194915",2022
4178,HABITATGE D'ÚS TURÍSTIC,-,454,Carrer de Pedret,124,-,N,-,-,N,-,-,-,12080,Pedret,485570.0,4649243.0,"2,82577521","41,99506521",2022
4182,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,2,-,N,-,-,N,-,3,4,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4183,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,2,-,N,-,-,N,-,BS,1,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4184,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,4,-,N,-,-,N,-,1,2,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4185,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,6,-,N,-,-,N,-,1,2,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4187,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,455,Ronda de Pedret,8,-,N,-,-,N,-,1,4,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4188,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,8,-,N,-,-,N,-,3,2,6642,Pedret,485457.0,4648697.0,"2,82442439","41,99014551",2022
4189,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,11,-,N,-,-,N,-,1,1,6667,Pedret,485551.0,4648813.0,"2,82555638","41,99119201",2022
4191,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,16,-,N,-,-,N,-,2,1,6643,Pedret,485498.0,4648753.0,"2,82491799","41,99065064",2022
4192,HABITATGE D'ÚS TURÍSTIC,-,455,Ronda de Pedret,16,-,N,-,-,N,-,2,2,6643,Pedret,485498.0,4648753.0,"2,82491799","41,99065064",2022
4195,HABITATGE D'ÚS TURÍSTIC,-,457,Carrer de les Peixateries Velles,7,-,N,-,-,N,B,1,1,5760,Barri Vell,485463.0,4648039.0,"2,82451310","41,98421925",2022
4196,HABITATGE D'ÚS TURÍSTIC,-,457,Carrer de les Peixateries Velles,7,-,N,-,-,N,B,1,2,5760,Barri Vell,485463.0,4648039.0,"2,82451310","41,98421925",2022
4208,HABITATGE D'ÚS TURÍSTIC,-,463,Carrer del Perill,3,-,N,-,-,N,-,2,D,3708,Mercadal,485299.0,4647950.0,"2,82253557","41,98341461",2022
4213,HABITATGE D'ÚS TURÍSTIC,-,463,Carrer del Perill,8,-,N,-,-,N,-,1,-,3725,Mercadal,485305.0,4647977.0,"2,82260733","41,98365790",2022
4214,HABITATGE D'ÚS TURÍSTIC,-,463,Carrer del Perill,8,-,N,-,-,N,-,3,-,3725,Mercadal,485305.0,4647977.0,"2,82260733","41,98365790",2022
4215,HABITATGE D'ÚS TURÍSTIC,-,463,Carrer del Perill,8,-,N,-,-,N,-,4,-,3725,Mercadal,485305.0,4647977.0,"2,82260733","41,98365790",2022
4241,HABITATGE D'ÚS TURÍSTIC,-,472,Plaça del Poeta Marquina,11,-,N,-,-,N,-,3,3,1120,Eixample Nord,484938.0,4647590.0,"2,81818698","41,98016540",2022
4254,HABITATGE D'ÚS TURÍSTIC,-,474,Plaça de Pompeu Fabra,10,-,N,-,-,N,-,5,2,1049,Mercadal,485261.0,4647737.0,"2,82208220","41,98149549",2022
4265,HABITATGE D'ÚS TURÍSTIC,-,474,Plaça de Pompeu Fabra,13,-,N,-,-,N,-,1,B,1047,Mercadal,485309.0,4647723.0,"2,82266196","41,98137029",2022
4270,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,2,-,N,-,-,N,-,3,1,6058,Barri Vell,485462.0,4648596.0,"2,82448725","41,98923593",2022
4271,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,4,-,N,-,-,N,-,1,1,6057,Barri Vell,485465.0,4648581.0,"2,82452384","41,98910089",2022
4272,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,4,-,N,-,-,N,-,BS,-,6057,Barri Vell,485465.0,4648581.0,"2,82452384","41,98910089",2022
4273,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,6,-,N,-,-,N,-,-,-,6056,Barri Vell,485463.0,4648576.0,"2,82449982","41,98905582",2022
4274,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,10,-,N,-,-,N,-,1,2,6054,Barri Vell,485452.0,4648559.0,"2,82436744","41,98890250",2022
4275,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,10,-,N,-,-,N,-,2,1,6054,Barri Vell,485452.0,4648559.0,"2,82436744","41,98890250",2022
4276,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,10,-,N,-,-,N,-,3,A,6054,Barri Vell,485452.0,4648559.0,"2,82436744","41,98890250",2022
4277,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,10,-,N,-,-,N,-,3,C,6054,Barri Vell,485452.0,4648559.0,"2,82436744","41,98890250",2022
4280,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,22,-,N,-,-,N,-,3,A,6066,Barri Vell,485437.0,4648519.0,"2,82418735","41,98854196",2022
4281,HABITATGE D'ÚS TURÍSTIC,-,475,Carrer de Jaume Pons i Martí,22,-,N,-,-,N,-,3,C,6066,Barri Vell,485437.0,4648519.0,"2,82418735","41,98854196",2022
4326,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,483,Carrer del Portal de la Barca,3,-,N,-,-,N,-,1,D,11319,Barri Vell,485474.0,4648548.0,"2,82463331","41,98880383",2022
4327,HABITATGE D'ÚS TURÍSTIC,-,483,Carrer del Portal de la Barca,3,-,N,-,-,N,-,2,A,11319,Barri Vell,485474.0,4648548.0,"2,82463331","41,98880383",2022
4331,HABITATGE D'ÚS TURÍSTIC,-,483,Carrer del Portal de la Barca,12,-,N,-,-,N,-,BS,2,6049,Barri Vell,485503.0,4648483.0,"2,82498502","41,98821894",2022
4332,HABITATGE D'ÚS TURÍSTIC,-,483,Carrer del Portal de la Barca,15,-,N,-,-,N,-,1,C,10925,Barri Vell,485522.0,4648510.0,"2,82521373","41,98846246",2022
4333,HABITATGE D'ÚS TURÍSTIC,-,483,Carrer del Portal de la Barca,15,-,N,-,-,N,-,3,B,10925,Barri Vell,485522.0,4648510.0,"2,82521373","41,98846246",2022
4334,HABITATGE D'ÚS TURÍSTIC,-,483,Carrer del Portal de la Barca,15,-,N,-,-,N,-,3,C,10925,Barri Vell,485522.0,4648510.0,"2,82521373","41,98846246",2022
4335,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,1,-,N,-,-,N,-,2,-,59,Barri Vell,485524.0,4647801.0,"2,82525534","41,98207679",2022
4336,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,1,-,N,-,-,N,-,BS,-,59,Barri Vell,485524.0,4647801.0,"2,82525534","41,98207679",2022
4337,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,4,-,N,-,-,N,-,2,3,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4338,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,4,-,N,-,-,N,-,3,3,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4339,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,4,-,N,-,-,N,-,BS,3,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4340,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,6,-,N,-,-,N,-,1,1,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4341,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,6,-,N,-,-,N,-,1,2,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4342,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,6,-,N,-,-,N,-,BS,1,111,Barri Vell,485576.0,4647772.0,"2,82588376","41,98181655",2022
4346,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,26,-,N,-,-,N,-,1,1,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4347,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,26,-,N,-,-,N,-,1,2,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4348,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,26,-,N,-,-,N,-,2,1,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4349,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,26,-,N,-,-,N,-,2,2,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4350,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,26,-,N,-,-,N,-,BS,-,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4351,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,28,-,N,-,-,N,-,1,1,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4352,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,28,-,N,-,-,N,-,1,2,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4353,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,28,-,N,-,-,N,-,2,1,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4354,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,28,-,N,-,-,N,-,2,2,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4355,HABITATGE D'ÚS TURÍSTIC,-,484,Carrer del Portal Nou,28,-,N,-,-,N,-,2,3,9,Barri Vell,485684.0,4648034.0,"2,82718107","41,98417826",2022
4356,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,3,A,N,-,-,N,-,-,-,12143,Barri Vell,485672.0,4648082.0,"2,82703504","41,98461036",2022
4357,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,4,-,N,-,-,N,-,1,2,5862,Barri Vell,485649.0,4648065.0,"2,82675780","41,98445683",2022
4358,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,4,-,N,-,-,N,-,2,2,5862,Barri Vell,485649.0,4648065.0,"2,82675780","41,98445683",2022
4359,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,4,-,N,-,-,N,-,BS,-,5862,Barri Vell,485649.0,4648065.0,"2,82675780","41,98445683",2022
4360,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,10,-,N,-,-,N,-,1,3,5853,Barri Vell,485649.0,4647998.0,"2,82675944","41,98385339",2022
4361,HABITATGE D'ÚS TURÍSTIC,-,485,Travessia del Portal Nou,10,-,N,-,-,N,-,BS,4,5853,Barri Vell,485649.0,4647998.0,"2,82675944","41,98385339",2022
4364,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,7,-,N,9,-,N,-,1,C,6081,Barri Vell,485496.0,4648537.0,"2,82489918","41,98870517",2022
4365,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,7,-,N,9,-,N,-,2,A,6081,Barri Vell,485496.0,4648537.0,"2,82489918","41,98870517",2022
4366,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,7,-,N,9,-,N,-,2,B,6081,Barri Vell,485496.0,4648537.0,"2,82489918","41,98870517",2022
4367,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,7,-,N,9,-,N,-,3,A,6081,Barri Vell,485496.0,4648537.0,"2,82489918","41,98870517",2022
4368,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,7,-,N,9,-,N,-,3,B,6081,Barri Vell,485496.0,4648537.0,"2,82489918","41,98870517",2022
4369,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,12,-,N,-,-,N,-,1,1,10789,Barri Vell,485498.0,4648513.0,"2,82492392","41,98848904",2022
4370,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,12,-,N,-,-,N,-,1,2,10789,Barri Vell,485498.0,4648513.0,"2,82492392","41,98848904",2022
4371,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,12,-,N,-,-,N,-,3,1,10789,Barri Vell,485498.0,4648513.0,"2,82492392","41,98848904",2022
4376,HABITATGE D'ÚS TURÍSTIC,KREATIVE APARTMENTS,488,Carrer del Pou Rodó,21,-,N,-,-,N,-,3,3,6092,Barri Vell,485521.0,4648558.0,"2,82520048","41,98889477",2022
4378,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,22,-,N,-,-,N,-,4,1,10998,Barri Vell,485533.0,4648548.0,"2,82534559","41,98880492",2022
4379,HABITATGE D'ÚS TURÍSTIC,-,488,Carrer del Pou Rodó,22,-,N,-,-,N,-,4,3,10998,Barri Vell,485533.0,4648548.0,"2,82534559","41,98880492",2022
4380,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,488,Carrer del Pou Rodó,22,-,N,-,-,N,-,BS,2,10998,Barri Vell,485533.0,4648548.0,"2,82534559","41,98880492",2022
4381,HABITATGE D'ÚS TURÍSTIC,OMER GOLDSTEIN,488,Carrer del Pou Rodó,22,-,N,-,-,N,-,BS,4,10998,Barri Vell,485533.0,4648548.0,"2,82534559","41,98880492",2022
4383,HABITATGE D'ÚS TURÍSTIC,-,490,Carrer d'Enric Prat de la Riba,5,-,N,-,-,N,-,BS,-,173,Carme,485646.0,4647576.0,"2,82673353","41,98005252",2022
4402,HABITATGE D'ÚS TURÍSTIC,-,499,Carrer del Puig de Montilivi,20,-,N,-,-,N,-,-,-,8648,Montilivi,486135.0,4646158.0,"2,83266963","41,96728982",2022
4450,HABITATGE D'ÚS TURÍSTIC,FRANCESC BONET MOLLEDO,513,Carrer de Ramon Turró,13,-,N,-,-,N,-,1,-,4142,Eixample Nord,484868.0,4647935.0,"2,81733313","41,98327135",2022
4451,HABITATGE D'ÚS TURÍSTIC,FRANCESC BONET MOLLEDO,513,Carrer de Ramon Turró,13,-,N,-,-,N,-,2,-,4142,Eixample Nord,484868.0,4647935.0,"2,81733313","41,98327135",2022
4452,HABITATGE D'ÚS TURÍSTIC,FRANCESC BONET MOLLEDO,513,Carrer de Ramon Turró,13,-,N,-,-,N,-,3,-,4142,Eixample Nord,484868.0,4647935.0,"2,81733313","41,98327135",2022
4455,HABITATGE D'ÚS TURÍSTIC,-,513,Carrer de Ramon Turró,37,-,N,-,-,N,-,2,4,11852,Eixample Nord,484814.0,4648035.0,"2,81667869","41,98417098",2022
4462,HABITATGE D'ÚS TURÍSTIC,-,516,Carrer del Regiment de Baza,8,-,N,-,-,N,-,BS,-,188,Carme,485723.0,4647587.0,"2,82766272","41,98015299",2022
4465,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,5,-,N,7,-,N,-,1,-,13046,Barri Vell,,,,,2022
4466,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,5,-,N,7,-,N,-,BS,-,13046,Barri Vell,,,,,2022
4467,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,1,1,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4468,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,1,5,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4469,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,1,7,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4470,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,2,3,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4471,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,2,4,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4472,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,2,7,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4473,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,3,1,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4474,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,3,2,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4475,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,3,3,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4476,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,3,7,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4477,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS CENTRE REI MARTÍ,517,Pujada del Rei Martí,8,-,N,12,-,N,-,BS,1,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4478,HABITATGE D'ÚS TURÍSTIC,ALMA ROOMS,517,Pujada del Rei Martí,8,-,N,12,-,N,-,BS,2,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4479,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,BS,5,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4480,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,8,-,N,12,-,N,-,BS,6,10813,Barri Vell,485548.0,4648529.0,"2,82552715","41,98863407",2022
4481,HABITATGE D'ÚS TURÍSTIC,-,517,Pujada del Rei Martí,11,-,N,-,-,N,-,1,A,6110,Barri Vell,485531.0,4648535.0,"2,82532177","41,98868780",2022
