"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"120";"33440";"48004";"MARRECS DE SALT";"3.300,00";"0,00";"3.300,00";"0,00"
"120";"33440";"48005";"FAL·LERA GIRONINA";"2.700,00";"0,00";"2.700,00";"0,00"
"120";"33810";"13000";"RETR.BAS.P.LABORAL ACCIÓ CULTURAL";"55.787,67";"-7.225,10";"48.562,57";"23.641,85"
"120";"33810";"15000";"PRODUCTIVITAT ACCIÓ CULTURAL";"1.878,00";"0,00";"1.878,00";"0,00"
"120";"33810";"15100";"GRATIFICACIONS EXTRAORDINÀRIES ACCIÓ CULTURAL";"4.200,00";"0,00";"4.200,00";"1.152,89"
"120";"33810";"15300";"COMPLEMENT DEDICACIÓ ESPECIAL ACCIÓ CULTURAL";"0,00";"7.225,10";"7.225,10";"4.324,32"
"120";"33810";"16000";"QUOTES SOCIALS ACCIÓ CULTURAL";"19.468,32";"0,00";"19.468,32";"9.376,34"
"120";"33811";"22610";"FIRES";"370.000,00";"43.948,93";"413.948,93";"17.762,77"
"120";"33811";"48000";"CONVENIS PROMOCIÓ";"135.000,00";"19.000,00";"154.000,00";"31.500,00"
"120";"33812";"48000";"FIRES - SUBVENCIONS";"0,00";"2.350,00";"2.350,00";"2.350,00"
"120";"33812";"22611";"DINAMITZACIÓ BARRIS";"52.000,00";"10.005,02";"62.005,02";"17.494,16"
"120";"33813";"48000";"PROMOCIÓ FESTES MAJORS";"26.000,00";"0,00";"26.000,00";"0,00"
"120";"93300";"61900";"ADQUISICIÓ PATRIMONI EDIFICI SANT NARCÍS";"0,00";"0,00";"0,00";"0,00"
"130";"33220";"143";"ALTRE PERSONAL ARXIU";"0,00";"0,00";"0,00";"0,00"
"130";"33220";"22199";"ALTRES SUBMINISTRAMENTS ARXIU";"1.066,05";"-849,65";"216,40";"108,99"
"130";"33220";"22009";"MATERIAL OFICINA ARXIU";"1.715,00";"891,58";"2.606,58";"1.081,85"
"130";"33220";"12000";"RETR.BAS.P.FUNCIONARI A1 GESTIÓ DOC, ARXIUS I PUBL.";"14.824,22";"0,00";"14.824,22";"7.375,94"
"130";"33220";"12001";"RETR.BAS.P.FUNCIONARI A2 GESTIÓ DOC, ARXIU I PUBL.";"13.035,60";"0,00";"13.035,60";"6.517,80"
"130";"33220";"12006";"TRIENNIS P FUNCIONARI GESTIÓ DOC, ARXIU I PUBL";"9.954,76";"0,00";"9.954,76";"4.977,57"
"130";"33220";"12009";"ALTRES RETR.BAS.P.FUNCIONARI GESTIÓ DOC, ARXIU I PUBL.";"8.772,56";"0,00";"8.772,56";"4.386,28"
"130";"33220";"12100";"COMP. DESTINACIÓ FUNCIONARIS GESTIÓ DOC, ARXIU I PUBL.";"15.825,84";"0,00";"15.825,84";"7.912,92"
"130";"33220";"12101";"COMP. ESPECÍFIC FUNCIONARIS GESTIÓ DOC, ARXIU I PUBL.";"35.928,49";"-11.397,80";"24.530,69";"11.125,56"
"130";"33220";"13000";"RETR.BAS.P.LABORAL GESTIÓ DOC, ARXIU I PUBL.";"402.541,14";"-31.027,00";"371.514,14";"183.799,54"
"130";"33220";"15000";"PRODUCTIVITAT GESTIÓ DOC, ARXIU I PUBL.";"14.085,00";"0,00";"14.085,00";"0,00"
"130";"33220";"15100";"GRATIFICACIONS GESTIÓ DOC, ARXIU I PUBL.";"500,00";"0,00";"500,00";"0,00"
"130";"33220";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL GESTIÓ DOC,ARXIU I PUBL.";"4.819,56";"42.424,80";"47.244,36";"27.838,18"
"130";"33220";"16000";"QUOTES SOCIALS GESTIÓ DOC, ARXIU I PUBL.";"146.872,98";"0,00";"146.872,98";"73.601,77"
"130";"33220";"21200";"MANTENIMENT ARXIU";"6.790,00";"0,00";"6.790,00";"3.452,02"
"130";"33220";"22100";"SUBM. ENERGIA ELÈCTRICA ARXIU";"22.050,00";"166,36";"22.216,36";"8.202,27"
"130";"33220";"22610";"DESPESES BIBLIOTECA ARXIU";"0,00";"1.572,60";"1.572,60";"1.572,60"
"130";"33220";"22616";"MANTENIMENT INSTAL·LACIONS I EQUIPS";"20.000,00";"-19.440,39";"559,61";"0,00"
"130";"33220";"22700";"NETEJA ARXIU";"24.000,00";"4.144,56";"28.144,56";"12.958,10"
"130";"33221";"22618";"SISTEMA GESTIÓ DOCUMENTS";"20.700,00";"2.935,90";"23.635,90";"11.250,39"
"130";"33222";"22611";"PROGRAMACIÓ ARXIU";"74.546,40";"37.902,22";"112.448,62";"52.132,30"
"130";"33222";"48000";"COL.LABORACIONS SGDAP";"0,00";"0,00";"0,00";"0,00"
"130";"33222";"48001";"TRANSFERÈNCIES A ALTRES ORGANISMES- ARXIU";"0,00";"205,00";"205,00";"205,00"
"130";"33222";"49000";"TRANSFERÈNCIES A L'EXTERIOR ARXIU";"0,00";"500,00";"500,00";"400,00"
"130";"33222";"62200";"INVERSIÓ SERVEI DE GESTIÓ DOCUMENTAL, ARXIUS I PUBLICACIONS";"0,00";"5.157,32";"5.157,32";"4.457,58"
"130";"33222";"62600";"EQUIPAMENT INFORMÀTIC";"0,00";"423,50";"423,50";"423,50"
"130";"33223";"22612";"CENTRE DE RECERCA I DIFUSIÓ DE LA IMATGE";"54.280,00";"78.453,82";"132.733,82";"70.114,17"
"130";"33224";"22610";"14es. JORNADES IMATGE I RECERCA";"0,00";"6.768,80";"6.768,80";"3.106,21"
"130";"33224";"22613";"SERVEI DE PUBLICACIONS";"82.000,00";"-1.151,57";"80.848,43";"18.498,64"
"130";"33224";"48000";"CONVENIS DE COL.LABORACIÓ SERVEI DE PUBLICACIONS";"0,00";"11.000,00";"11.000,00";"0,00"
"130";"33225";"48000";"CONVENIS  ARXIU";"42.000,00";"-9.000,00";"33.000,00";"0,00"
"130";"33226";"22600";"CONFERÈNCIA MUNDIAL I 9A CONF EUROPEA ARXIU";"0,00";"5.879,09";"5.879,09";"5.879,09"
"130";"33227";"22600";"PROJECTE ATHENA";"0,00";"1.102,33";"1.102,33";"1.102,33"
"130";"33400";"22616";"GIRONA PATRIMONI DE LA HUMANITAT UNESCO";"0,00";"20.000,00";"20.000,00";"161,70"
