Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
ÒPTICA I OPTOMETRIA;INSTITUT D'OPTOMETRIA MERCE SEGARRA;89;PL;Francesc Calvet i Rubalcaba;4;;N;;;N;;1;B;1072;485390;4647783;485296;4647578;2,82251449;41,98006689
PERRUQUERIA;PERRUQUERIA DIANA;89;PL;Francesc Calvet i Rubalcaba;7;;N;;;N;;PR;1;1351;485353;4647732;485259;4647527;2,82206914;41,97960686
;MERCAT DEL LLEÓ;89;PL;Francesc Calvet i Rubalcaba;15;;N;;;N;;;;1090;485417;4647729;485323;4647524;2,82284175;41,97958103
VENDA I REPARACIÓ D'ORDINADORS, COMPLEMENTS I SERVEIS INFORMÀTICS;;834;CR;Salvador Dabau i Caussà;10;;N;;;N;;BS;1;9660;484538;4646614;484444;4646409;2,81226088;41,96952179
REPARACIÓ D'ORDINADORS I SERVEIS DE TELECOMUNICACIONS;;834;CR;Salvador Dabau i Caussà;10;;N;;;N;;BS;1;9660;484538;4646614;484444;4646409;2,81226088;41,96952179
OFICINA D'ADMINISTRACIÓ I D'ARRENDAMENTS DE BÉNS IMMOBLES;;834;CR;Salvador Dabau i Caussà;10;;N;;;N;;BS;1;9660;484538;4646614;484444;4646409;2,81226088;41,96952179
VENDA, INSTAL·LACIÓ I REPARACIÓ  D'ORDINADORS I SERVEIS D'INTERNET;;834;CR;Salvador Dabau i Caussà;10;;N;;;N;;BS;1;9660;484538;4646614;484444;4646409;2,81226088;41,96952179
DESPATX D'ADVOCATS;GESTIÓ GIRONA ADVOCATS;671;CR;Ultònia;2;;N;;;N;;BS;;1091;485465;4647681;485371;4647476;2,82342234;41,9791496
ASSESSORIA FISCAL, COMPTABLE I LABORAL, I GESTORIA ADMINISTRATIVA;GESTIÓ GIRONA;671;CR;Ultònia;2;;N;;;N;;BS;;1091;485465;4647681;485371;4647476;2,82342234;41,9791496
ASSESSORIA D'EMPRESES;;671;CR;Ultònia;2;;N;;;N;;BS;;1091;485465;4647681;485371;4647476;2,82342234;41,9791496
DESPATX D'AUDITORIA;C&D AUDITORS;671;CR;Ultònia;2;;N;;;N;;BS;;1091;485465;4647681;485371;4647476;2,82342234;41,9791496
COMERÇ AL DETALL DE MARQUINÀRIA I ACCESSORIS, REPARACIÓ I MAGATZEM;MAQUINARIA COMERCIAL ANTONI OLIVERAS;262;CR;Riu Güell;186;;N;;;N;;BS;3;5344;484187;4646911;484093;4646706;2,80801669;41,9721898
COMERÇ AL MAJOR DE PRODUCTES ALIMENTARIS;JB2;632;CR;Illa de Tenerife;3;;N;;;N;;BS;1;6838;485557;4650776;485463;4650571;2,82445658;42,00702689
GABINET PSICOLOGIA I LOGOPÈDIA;ISEP CLINIC GIRONA;596;CR;Santa Eugènia;85;;N;;;N;;1;1;4740;484245;4647544;484151;4647339;2,80869971;41,97789219
BOTIGA DE PRODUCTES ECOLÒGICS;BIONOFRE;556;CR;Rutlla;15;;N;17;;N;;BS;;1254;485464;4647533;485370;4647328;2,82341394;41,9778166
CENTRE DE PSICOPEDAGOGIA;CENTRE DE PSICOPEDAGOGIA X I Z;765;CR;Oriol Martorell i Codina;40;;N;;;N;;BS;2;10077;484982;4647190;484888;4646985;2,81760474;41,97471825
OFICINES;PIFERRER;607;CR;Saragossa;24;;N;26;;N;;BS;2;1616;484888;4646816;484794;4646611;2,8164798;41,97134795
INSTITUT MÈDIC ODONTOLÒGIC;INSTITUT MÈDIC DENTAL SL;296;CR;Joan Maragall;23;A;N;;;N;;EN;;1346;485312;4647714;485218;4647509;2,82157469;41,97944398
LOCAL DE TREBALL I REUNIÓ DEL DEPARTAMENT DE RELACIONS LABORALS D'EMPRESA;LA CAIXA;566;CT;Sant Feliu;31;;N;;;N;;BS;1;686;486716;4646764;486622;4646559;2,83854363;41,97091261
COMERÇ AL DETALL DE PARQUET;PAVIWOOD;56;CR;Barcelona;50;;N;;;N;;BS;1;1135;484932;4647484;484838;4647279;2,81699369;41,97736525
COMERÇ AL DETALL DE PRODUCTES DIETÈTICS  I SERVEI DE QUIROMASSATGES;GINKGO;585;AV;Sant Narcís;90;;N;;;N;;BS;;5329;484452;4646733;484358;4646528;2,8112198;41,97059189
OFICINA DE CONSULTORIA DE RECURSOS HUMANS;ADHOC;209;RD;Ferran Puig;3;;N;;;N;;1;2;3916;485064;4648043;484970;4647838;2,81857275;41,9824025
OFICINA D'ASSEGURANCES;MUTUA DE PROPIETARIS;330;RB;Llibertat;6;;N;;;N;;EN;;5708;485515;4648101;485421;4647896;2,8240155;41,98293333
OFICINA BANCÀRIA;EL MONTE DE PIEDAD Y CAJA DE AHORROS DE HUELVA Y SEVILLA;313;PL;Josep Pla;2;;N;;;N;;BS;;3708;485393;4648154;485299;4647949;2,82254146;41,98340842
COMERÇ AL DETALL DE PA I DEGUSTACIÓ;FLECA AMB DEGUSTACIÓ SERRANO;596;CR;Santa Eugènia;65;;N;;;N;;BS;1;5565;484505;4647691;484411;4647486;2,81183416;41,97922133
DESPATX D'ADVOCATS;;52;CR;Jaume Balmes;1;;N;;;N;;7;;2646;485082;4647260;484988;4647055;2,81880995;41,97535062
CONSULTA DE FISIOTERAPIA;;166;CR;Creu;20;;N;;;N;;EN;4;1458;485345;4647304;485251;4647099;2,82198327;41,97575186
OFICINES I MAGATZEM DE LAMPISTES SENSE TALLER;;72;CR;Bilbao;2;A;N;;;N;;BS;;5317;484441;4646623;484347;4646418;2,81108996;41,96960094
SERVEIS DE PREVENCIÓ, VIGILÀNCIA DE LA SALUT I OFICINES;FREMAP;56;CR;Barcelona;63;;N;;;N;;BS;;1539;484921;4647229;484827;4647024;2,81686747;41,97506834
PERRUQUERIA I CENTRE D'ESTÈTICA AMB BRONZEJAT ARTIFICIAL;PAÏTIDES;596;CR;Santa Eugènia;77;;N;;;N;;BS;2;4704;484338;4647595;484244;4647390;2,80982091;41,97835338
COMERÇ AL DETALL DE FLORS I PLANTES I SERVEIS DE DECORACIÓ;FLOR A PUNT 2006;358;CR;Marquès de Caldes de Montbui;83;;N;;;N;;BS;;10889;485139;4646549;485045;4646344;2,81951595;41,96894795
OFICINA D'ADMINISTRACIÓ DE PROPIETATS;RODIXIET S.L.;742;PT;Farinera Teixidor;1;;N;;;N;;1;1;4221;484837;4647970;484743;4647765;2,81583444;41,98174067
PERRUQUERIA I CENTRE D'ESTÈTICA;JOSE LUIS JAIRAND - PERRUQUERIA D'HOMES;358;CR;Marquès de Caldes de Montbui;35;;N;;;N;;BS;1;2389;484888;4646629;484794;4646424;2,81648462;41,9696637
ACADÈMIA PRIVADA D'ENSENYAMENT;MONTSERRAT ALSINA ROIG;47;CR;Bailèn;8;;N;;;N;;1;3;1118;484973;4647758;484879;4647553;2,81748156;41,97983387
CONSULTORI DENTAL;APPLEDENT;110;TR;Canaders;2;;N;;;N;;2;1;9729;485419;4647885;485325;4647680;2,82286201;41,98098611
VENDA I INSTAL·LACIÓ DE LÍNIES TELEFÒNIQUES, CENTRALS I TERMINALS;TELEFONICA GIRONA.COM;334;AV;Lluís Pericot;7;;N;;;N;;BXS;;8915;485566;4647051;485472;4646846;2,82465699;41,97347726
OFICINA I MAGATZEM D'UNA EMPRESA DE SERVEIS DE NETEJA;NETEGES TOT NET;604;CR;Santiago;36;;N;;;N;;BS;1;2373;484909;4646478;484815;4646273;2,81674195;41,96830409
PERRUQUERIA;PERRUQUERIA MINA;148;CR;Cervino;9;;N;;;N;;BS;;7549;483906;4649433;483812;4649228;2,80455597;41,99489889
OFICINA DE PROMOCIÓ I VENDA D'IMMOBLES;FINQUES BONVIURE;446;CR;Pare Coll;11;;N;;;N;;BS;3;5605;484540;4647550;484446;4647345;2,81226035;41,97795208
CENTRE D'ESTÈTICA;VITAL;146;CR;Central;21;;N;;;N;;BS;;8087;484075;4649607;483981;4649402;2,8065917;41,99646948
CONSULTORI MÈDIC ODONTOLÒGIC;ORTODÒNCIA JORGE VILARRASA;260;CR;Jaume I;41;;N;;;N;;5;1;1013;485210;4647969;485116;4647764;2,82033704;41,98173877
COMERÇ AL DETALL DE MOBLES;LA CASA COLONIAL;695;CR;Castelló de la Plana;7;;N;;;N;;BS;;10307;484511;4646574;484417;4646369;2,81193607;41,969161
;FLECA BELLSOLÀ;303;CR;Joaquim Ruyra i Oms;6;;N;;;N;;BS;;1944;485699;4646947;485605;4646742;2,82626479;41,97254299
CENTRE D'ENSENYAMENT INFANTIL I PRIMÀRIA;ESCOLA PERICOT;24;CR;Andreu Tuyet i Santamaria;35;;N;;;N;;;;2805;485982;4646981;485888;4646776;2,82967965;41,97285432
TALLER DE CANVI DE PNEUMÀTICS;PNEUMÀTICS GIRONA / SERVI RUEDA;402;AV;Montilivi;11;;N;;;N;;BS;1;1975;485614;4646824;485520;4646619;2,8252419;41,97143362
;ESTUDI D'ARQUITECTURA CANOSA - COROMINAS;186;CR;Emili Grahit;62;;N;;;N;;EN;1;1920;485832;4647026;485738;4646821;2,82786813;41,97325693
;ESTUDI D'ARQUITECTURA I ENGINYERIA: BLANCH-COLOMER-DIEZ;186;CR;Emili Grahit;62;;N;;;N;;EN;1;1920;485832;4647026;485738;4646821;2,82786813;41,97325693
;FEDERACIÓ CATALANA DE CAÇA DE GIRONA;186;CR;Emili Grahit;62;;N;;;N;;EN;2;1920;485832;4647026;485738;4646821;2,82786813;41,97325693
OFICINA TÈCNICA;NEXUS GEOGRÀFICS;302;CR;Joaquim Botet i Sisó;6;;N;;;N;;BS;;2109;485617;4647013;485523;4646808;2,82527347;41,97313594
botiga d'articles de neteja-perfumeria, alimentació envasad i fotografia;Schlecker;71;CR;Bernat Boades;68;;N;;;N;;BS;1;4256;484704;4647893;484610;4647688;2,81423097;41,98104458
;ENGINYERIA I GESTIO DE SEGURETAT;138;CR;Castell de Solterra;5;;N;;;N;;2;2;1918;485816;4646983;485722;4646778;2,82767605;41,97286935
;EVA GOMAR I NOGUER, PSICÒLOGA CLÍNICA, PSICOANALISTA;392;PL;Miquel de Palol;7;;N;;;N;;3;2;8924;484713;4647961;484619;4647756;2,81433784;41,98165721
;APG ASSESSORIA PERICIAL GIRONA;523;CR;Riera Bugantó;10;;N;;;N;;BS;1;2826;485536;4646419;485442;4646214;2,82431048;41,96778448
;GUARDIA CIVIL;186;CR;Emili Grahit;52;;N;;;N;;BS;;1930;485670;4647024;485576;4646819;2,82591289;41,97323598
;ASTEPLAST, S.L.;520;CR;Remences;19;;N;;;N;;BS;2;4203;484557;4648051;484463;4647846;2,81245236;41,98246476
;FARMÀCIA RIERA;24;CR;Andreu Tuyet i Santamaria;16;;N;;;N;;BS;1;1966;485705;4646911;485611;4646706;2,82633808;41,97221886
;PSICOTÈCNIA;486;CR;Porvenir;12;;N;;;N;;1;1;11307;484919;4647994;484825;4647789;2,81682366;41,9819584
;PUJOL, PAREDES, MARTINEZ LOZANO. ADVOCATS;637;CR;Tomàs Mieres;5;;N;;;N;;1;I;10179;484964;4648033;484870;4647828;2,81736587;41,98231053
CENTRE UNIVERSITARI;UDG- POLITÈCNICA 2;715;CR;Universitat de Girona;4;;N;;;N;;;;3358;486093;4645944;485999;4645739;2,83104395;41,96351635
CENTRE UNIVERSITARI;POLITÈCNICA 4;715;CR;Universitat de Girona;6;;N;;;N;;;;3358;486093;4645944;485999;4645739;2,83104395;41,96351635
CENTRE UNIVERSITARI;FACULTAT DE CIÈNCIES ECONÒMIQUES I EMPRESARIALS;715;CR;Universitat de Girona;10;;N;;;N;;;;11281;486099;4645756;486005;4645551;2,83112081;41,96182319
;MAS ABELLA EQUIPAMENT CULTURAL;361;CR;Mas Abella;2;;N;;;N;;;;2828;485502;4646217;485408;4646012;2,82390514;41,9659645
BAR-RESTAURANT (CAT. 1);L'OU;742;PT;Farinera Teixidor;8;;N;;;N;;BS;2;4223;484891;4647976;484797;4647771;2,81648613;41,98179575
;COL·LEGI D'EDUCACIÓ ESPECIAL FONT DE L'ABELLA;402;AV;Montilivi;100;;N;;;N;;BS;;2902;485690;4646016;485596;4645811;2,82617887;41,9641576
;DR. GONÇAL ROCH: PEDIATRE;472;PL;Poeta Marquina;10;;N;;;N;;1;3;1120;485032;4647794;484938;4647589;2,81819282;41,98015923
;BONET;427;CR;Nou;1;;N;;;N;;BS;;3674;485404;4648069;485310;4647864;2,82267637;41,98264306
;REVERENDO-GINESTA ARQUITECTES;427;CR;Nou;7;;N;;;N;;PR;;3670;485366;4648058;485272;4647853;2,82221793;41,98254328
BOTIGA DE ROBA I COMPLEMENTS;ARXER;427;CR;Nou;15;;N;;;N;;BS;2;3665;485337;4648060;485243;4647855;2,82186781;41,98256075
;ASSOCIACIÓ PROFESSIONAL D'EDUCADORS SOCIALS DE CATALUNYA;427;CR;Nou;21;;N;;;N;;1;;3662;485317;4648061;485223;4647856;2,82162636;41,98256939
;TONS;427;CR;Nou;21;;N;;;N;;BS;;3662;485317;4648061;485223;4647856;2,82162636;41,98256939
;TORRAS;427;CR;Nou;21;;N;;;N;;BS;;3662;485317;4648061;485223;4647856;2,82162636;41,98256939
;MUNTADA ADVOCATS;427;CR;Nou;27;;N;;;N;;EN;1;3659;485286;4648060;485192;4647855;2,82125217;41,9825598
;ACUPUNTOR: JOAN MOLINA MUÑOZ;47;CR;Bailèn;8;;N;;;N;;2;3;1118;484973;4647758;484879;4647553;2,81748156;41,97983387
;Venta de canarios;541;CR;Narcís Roca i Farreras;79;;N;;;N;;BS;;7432;484676;4649237;484582;4649032;2,81385786;41,99314898
OFICINA D'INTERMEDIACIÓ MONETÀRIA;CAIXA DE GIRONA;427;CR;Nou;33;;N;;;N;;1;1;3657;485244;4648056;485150;4647851;2,82074527;41,98252299
;CAIXA GIRONA;427;CR;Nou;35;;N;;;N;;BS;;3657;485244;4648056;485150;4647851;2,82074527;41,98252299
;PRAT;427;CR;Nou;33;;N;;;N;;BS;;3657;485244;4648056;485150;4647851;2,82074527;41,98252299
OFICINA D'INTERMEDIACIÓ MONETÀRIA;CAIXA DE GIRONA;427;CR;Nou;35;;N;;;N;;1;2;3657;485244;4648056;485150;4647851;2,82074527;41,98252299
;DR. JOAQUIM RAMIO VILA: CARDIOLOGIA, MEDICINA INTERNA;47;CR;Bailèn;4;;N;;;N;;2;2;1120;485032;4647794;484938;4647589;2,81819282;41,98015923
;ICMEDIA;541;CR;Narcís Roca i Farreras;63;;N;;;N;;BS;;7440;484726;4649235;484632;4649030;2,81446158;41,99313194
;LA CAIXA;427;CR;Nou;2;;N;;;N;;BS;;3694;485388;4648088;485294;4647883;2,82248275;41,98281389
PAVELLÓ ESPORTIU;PAVELLÓ MUNICIPAL GIRONA-FONTAJAU;314;AV;Josep Tarradellas i Joan;22;;N;24;;N;;;;10058;484421;4648934;484327;4648729;2,8107872;41,99041495
;ESPECTACLES COSTA BRAVA;427;CR;Nou;8;;N;;;N;;EN;2;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;Mª ASSUMPCIÓ PUIG HORS I JOSEP SANLLEHI PIJOAN, ARQUITECTES;427;CR;Nou;6;;N;;;N;;2;3;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;VILARO I CIA S.C.;427;CR;Nou;6;;N;;;N;;3;1;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;ARQUITECTES I ENGINYERS ASSOCIATS;427;CR;Nou;6;;N;;;N;;2;1D;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;CATCIPSELA S.L.;427;CR;Nou;6;;N;;;N;;2;1C;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;ALDEANET.ORG - ASSOCIACIÓ CATALANA TELETREBALL;427;CR;Nou;6;;N;;;N;;2;1B;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;SERVENT & BATLLE - GABINET JURÍDIC;427;CR;Nou;6;;N;;;N;;5;2;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;C2M ARQUITECTES;427;CR;Nou;6;;N;;;N;;3;4;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;DINÀMIC: CENTRE DE PSICOLOGIA, LOGOPÈDIA I DE TERÀPIES NATURALS;56;CR;Barcelona;30;;N;;;N;;1;D;1125;484990;4647638;484896;4647433;2,81768984;41,97875339
;MIQUEL GRAU - VICENTE DEL POZO ENGINYERS S.C.;427;CR;Nou;6;;N;;;N;;4;2;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;C. SOBRINO: PROCURADOR;56;CR;Barcelona;30;;N;;;N;;2;B;1125;484990;4647638;484896;4647433;2,81768984;41,97875339
;JOAN BATALLER GARRIGA - ADVOCAT;427;CR;Nou;6;;N;;;N;;3;4;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;GALLIGANS ADVOCATS;427;CR;Nou;6;;N;;;N;;2;2;3696;485352;4648089;485258;4647884;2,82204815;41,98282223
;FERRÉS PLANELLA: ADVOCATS;56;CR;Barcelona;32;;N;;;N;;1;2;1126;484983;4647617;484889;4647412;2,81760588;41,97856412
TALLER REPARACIÓ RÀPIDA D'AUTOMÒBILS;MIDAS;56;CR;Barcelona;36;;N;;;N;;BS;;1128;484973;4647587;484879;4647382;2,81748594;41,97829372
COMERÇ AL DETALL DE ROBA;FETE;593;CR;Santa Clara;40;;N;;;N;;BS;1;3738;485464;4648234;485370;4648029;2,82339656;41,98413027
SERVEIS TELEFÒNICS;DER MAGIER S.L.;569;AV;Sant Francesc;29;;N;;;N;;2;1;1014;485200;4648013;485106;4647808;2,82021521;41,98213487
OFICINA D'ASSEGURANCES;CORREDORS I ASSESSORS D'ASSEGURANCES;419;CR;Narcís Blanch i Illa;32;B;N;;;N;;BS;;1667;485028;4646615;484934;4646410;2,81817463;41,96954028
OFICINA D'ASSEGURANCES;LA PREVISORA BILBAINA S.A.;56;CR;Barcelona;23;;N;;;N;;EN;1;1235;485080;4647774;484986;4647569;2,81877274;41,97998001
OFICINA;;227;AV;França;34;;N;;;N;;1;4;7294;485166;4649361;485072;4649156;2,81977068;41,99427521
COMERÇ AL DETALL D'ARTICLES PER A LA LLAR;PRODUCTES PER LA LLAR;303;CR;Joaquim Ruyra i Oms;13;;N;;;N;;BS;1;1950;485734;4646913;485640;4646708;2,82668805;41,9722374
LOCUTORI TELEFÒNIC AMB VENDA DE TELÈFONS MÒBILS I ACCESSORIS;LOCUTORI RIU GÜELL;61;CR;Bastiments;4;;N;;;N;;BS;1;4845;484218;4647106;484124;4646901;2,80838559;41,97394672
TALLER D'ACABATS TÈXTILS;PROMER;510;CR;Rajolers;5;;N;;;N;;BS;2;2221;485259;4646641;485165;4646436;2,8209619;41,96977882
DIAGNÒSTIC, ESTUDI I TRACTAMENT DE L'ESTERILITAT;CONSULTA D'ESTERILITAT I REPRODUCCIÓ ASSISTIDA CGG SL;56;CR;Barcelona;2;;N;;;N;;6;;10299;485062;4647956;484968;4647751;2,81855082;41,98161888
LABORATORI BIOLÒGIC I CENTRE D'ANÀLISIS CLÍNIQUES;CENTRE GENÈTICA GIRONA SC;56;CR;Barcelona;2;;N;;;N;;6;;10299;485062;4647956;484968;4647751;2,81855082;41,98161888
GALERIA D'ART;DA-VINCI ART;463;CR;Perill;3;;N;;;N;;BS;3;3708;485393;4648154;485299;4647949;2,82254146;41,98340842
OFICINA DE COMERÇ A L'ENGROS DE PETROLI I LUBRICANTS;;334;AV;Lluís Pericot;110;;N;;;N;;BS;5;10915;484965;4646252;484871;4646047;2,81742358;41,96626965
OFICINA TÈCNICA D'ARQUITECTURA;METRE CÚBIC;298;CR;Joan Reglà;8;;N;;;N;;BS;;1897;485415;4646793;485321;4646588;2,82284088;41,97115075
VENDA I MANTENIMENT D'ASCENSORS;ORONA SC;166;CR;Creu;8;;N;;;N;;BS;2;1532;485418;4647287;485324;4647082;2,82286481;41,9756001
COMERÇ AL DETALL DE XOCOLATES I BOMBONS;XOCOLATES GLUKI;593;CR;Santa Clara;44;;N;;;N;;BS;3;3739;485471;4648256;485377;4648051;2,82348052;41,98432855
OFICINA IMMOBILIÀRIA;FINQUES PERICOT;168;PJ;Creu de Palau;1;;N;;;N;;;;2294;485341;4646433;485247;4646228;2,82195675;41,96790696
PERRUQUERIA, CENTRE D'ESTÈTICA, BRONZEJAT ARTIFICIAL I VENDA DE PRODUCTES RELACIONATS;MIM@'T;503;CR;Puigneulós;13;;N;;;N;;BS;1;5352;484088;4646904;483994;4646699;2,806822;41,97212475
ADMINISTRACIÓ DE LOTERIA;LOTERIA SANTA EUGÈNIA;375;CR;Maçana;51;;N;55;;N;;BS;1;5204;483867;4647328;483773;4647123;2,80414301;41,97593908
OFICINA DE GESTIÓ IMMOBILIÀRIA;NUEVA IQT;358;CR;Marquès de Caldes de Montbui;86;;N;88;;N;;BS;1;10251;485153;4646444;485059;4646239;2,81968757;41,96800251
CENTRE DE REHABILITACIÓ I MANTENIMENT PILATES;ESTUDI 38 PILATES;765;CR;Oriol Martorell i Codina;38;;N;;;N;;BS;1;10913;484977;4647150;484883;4646945;2,81754541;41,97435788
PERRUQUERIA, ESTÈTICA I VENDA DE PRODUCTES RELACIONATS;PAUL JOE;459;CR;Pere Compte;23;;N;;;N;;BS;2;5619;484412;4647477;484318;4647272;2,81071727;41,97729207
COMERÇ AL DETALL DE ROBA I COMPLEMENTS;GENFINS;593;CR;Santa Clara;44;;N;;;N;;BS;1;3739;485471;4648256;485377;4648051;2,82348052;41,98432855
COMERÇ AL DETALL DE COTILLERIA I ROBA INTERIOR;GOLDENPOIN;296;CR;Joan Maragall;32;B;N;;;N;;BS;4;1365;485190;4647595;485096;4647390;2,82010506;41,9783699
SERVEIS ADMINISTRATIUS I COMPTABLES;GALPOU CONSTRUCCIONS I PROMOCIONS, SL;294;CR;Joan Alsina i Hurtós;5;;N;;;N;;BS;;2543;484694;4646399;484600;4646194;2,81414924;41,96758841
COMERÇ AL DETALL DE ROBA INFANTIL;MARIKÍ;358;CR;Marquès de Caldes de Montbui;20;;N;;;N;;BS;1;2516;484793;4646633;484699;4646428;2,81533796;41,96969789
OFICINA D'UN SERVEI DE PREVENCIÓ;SERVEI DE PREVENCIÓ GAUDÍ, SL;260;CR;Jaume I;5;;N;;;N;;1;1;3830;485345;4648353;485251;4648148;2,82195706;41,98519986
VENDA DE MÀQUINES I EQUIPS D'OFICINA;SHARP (COREMOSA GIRONA, SA);198;PL;Europa;1;;N;;;N;;BS;1;4632;484694;4647327;484600;4647122;2,81412503;41,97594661
COMERÇ AL DETALL D'APARELLS D'IL·LUMINACIÓ;ISERN IL·LUMINACIÓ GIRONA;317;CR;Juli Garreta;25;;N;;;N;B;BS;2;1360;485112;4647584;485018;4647379;2,81916383;41,97826935
OFICINA DE SERVEIS D'ENGINYERIA;GISCE-ENGINYERIA;756;PL;Mela Mutermilch;2;;N;;;N;;1;1;4072;484666;4648152;484572;4647947;2,8137655;41,98337656
OFICINA BANCÀRIA;BANESTO;260;CR;Jaume I;39;;N;;;N;;BS;;1014;485200;4648013;485106;4647808;2,82021521;41,98213487
COMERÇ AL DETALL DE PECES DE VESTIR;METROPOLIS;596;CR;Santa Eugènia;34;;N;;;N;;BS;;3900;484944;4647975;484850;4647770;2,81712593;41,98178776
BOTIGA D'ANIMALS I COMPLEMENTS I PERRUQUERIA CANINA;SAKATIA FAUNA;334;AV;Lluís Pericot;50;;N;;;N;;BS;1;2271;485473;4646516;485379;4646311;2,82354775;41,96865697
BOTIGA I TALLER DE REPARACIÓ DE MOTOCICLETES;MOTOS CASADEMONT;212;CR;Figuerola;30;;N;;;N;;BS;;3991;485126;4648384;485032;4648179;2,81931253;41,98547495
ESTACIÓ BASE DE TELEFONIA MÒBIL;ORANGE;93;CR;Camp de les Lloses;1;C;N;;;N;;;;11632;484023;4645041;483929;4644836;2,80608819;41,95534397
;COL·LEGI PUBLIC MONTFALGARS;401;CR;Montfalgars;4;;N;;;N;;;;11459;483648;4647040;483554;4646835;2,80150767;41,97334064
;CEMENTIRI DE SANTA EUGÈNIA;408;CR;Montnegre;45;;N;;;N;;;;5651;483858;4646832;483764;4646627;2,80404802;41,97147159
BOTIGA DE LLAVORS, ADOBS, ALIMENTS PER A ANIMALS;Agrocomerç;440;CR;Palafrugell;10;;N;;;N;;BS;;6647;485626;4649044;485532;4648839;2,82533231;41,99142865
SERVEIS DE FOTOCÒPIES;COPISTERIA EL CLIP;612;CR;Sèquia;5;;N;;;N;;BS;1;3703;485303;4648155;485209;4647950;2,821455;41,98341575
;COL·LEGI PÚBLIC J.DALMAU CARLES;623;CR;Taga;1;;N;;;N;;;;5357;484016;4646829;483922;4646624;2,80595505;41,97144779
;ASSOCIACIÓ DE PENSIONISTES I JUBILATS SANT JOAN - LOCAL SOCIAL;623;CR;Taga;6;;N;;;N;;BS;1;5348;484094;4646833;484000;4646628;2,80689634;41,9714854
COMERÇ AL DETALL DE SABATES I BOLSOS;MORALES;434;PG;Olot;90;;N;;;N;;BS;1;5227;483793;4647198;483699;4646993;2,80325341;41,97476669
PISCINA MUNICIPAL;PISCINA MUNICIPAL STA. EUGÈNIA - CAN GIBERT DEL PLA;623;CR;Taga;9;;N;;;N;;;;10079;483908;4646883;483814;4646678;2,80465008;41,97193195
;ROVIRA & VILA ADVOCATS;596;CR;Santa Eugènia;4;;N;;;N;;2;1;3918;485054;4648026;484960;4647821;2,81845247;41,9822492
;CONSTRUCCIONS BRUNSÓ;596;CR;Santa Eugènia;8;;N;;;N;;1;;3919;485045;4648024;484951;4647819;2,81834388;41,98223101
;CORREOS;754;CR;Gerundense;1;;N;3;;N;;;;10088;483818;4645985;483724;4645780;2,8035886;41,9638421
;Departament de Cultura, Generalitat de Catalunya;454;CR;Pedret;95;;N;97;;N;;BS;;6734;485531;4650046;485437;4649841;2,82416063;42,00045156
;CILMA, CONSELL D'INICIATIVES PER AL MEDI AMBIENT DE LES COMARQUES DE GIRONA;596;CR;Santa Eugènia;10;;N;;;N;;4;A;3920;485039;4648021;484945;4647816;2,81827153;41,98220388
CENTRAL HIDROELÈCTRICA;Electricitat l'Aurora S.A.;454;CR;Pedret;99;;N;;;N;;;;11974;485513;4650076;485419;4649871;2,82394254;42,00072143
;Centre Cívic Pedret;454;CR;Pedret;156;;N;;;N;;BS;;6728;485579;4649690;485485;4649485;2,82474898;41,99724608
;Centre Cívic Pedret;454;CR;Pedret;152;;N;;;N;;;;8499;485580;4649682;485486;4649477;2,82476125;41,99717405
;MKTG, MARKETING OPERACIONAL, E.P.C.;596;CR;Santa Eugènia;18;;N;;;N;;5;3;3923;485020;4648014;484926;4647809;2,81804235;41,98214047
;LL. PLANELLA FERNÁNDEZ, PSICÒLEG CLÌNIC;596;CR;Santa Eugènia;18;;N;;;N;;4;4;3923;485020;4648014;484926;4647809;2,81804235;41,98214047
RESTAURANT;NOU POL NORD;454;CR;Pedret;120;;N;;;N;;BS;;6715;485686;4649387;485592;4649182;2,82604832;41,99451903
;CENTRE PSICOLÒGIC GIRONA;596;CR;Santa Eugènia;18;;N;;;N;;9;3;3923;485020;4648014;484926;4647809;2,81804235;41,98214047
BAR;EL XARRUP;596;CR;Santa Eugènia;24;;N;;;N;;BS;;3925;485007;4648005;484913;4647800;2,81788566;41,98205916
EMMAGATZEMATGE, VENDA I DISTRIBUCIÓ AL MAJOR DE MATERIAL ELÈCTRIC;AG;595;CT;Santa Coloma;82;;N;84;;N;;;;11305;483878;4645790;483784;4645585;2,80431802;41,96208703
COMERCIALITZACIÓ DE MARBRES, GRANET I PEDRA NATURAL;DECOPEDRA;695;CR;Castelló de la Plana;5;;N;;;N;;BS;;9635;484494;4646577;484400;4646372;2,81173082;41,96918768
