Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
DESPATX D'ADVOCAT;SEBASTIÀ SALELLAS ADVOCAT, ASSESSORIA JURÍDICA;359;PL;Marquès de Camps;9;;N;;;N;;6;2;1109;485081;4647979;484987;4647774;2,81877959;41,9818264
CONSULTORI D'ESTOMATOLOGIA;DOCTORS VILA;386;CR;Migdia;9;;N;;;N;;EN;E;1412;485276;4647436;485182;4647231;2,82114712;41,97693945
VENDA DE ROBA;ELENA MIRO;684;PL;Vi;8;;N;;;N;;BS;1;5721;485541;4648113;485447;4647908;2,82432907;41,98304189
VENDA A L'ENGROS D'APARELLS ELECTRONICS;WATTS;576;CR;Sant Joan Baptista de La Salle;8;;N;;;N;;BS;2;1273;485380;4647470;485286;4647265;2,82240159;41,97724762
VENDA DE ROBA PER NENS;EL JARDINET;684;PL;Vi;12;;N;;;N;;BS;2;5723;485578;4648151;485484;4647946;2,82477478;41,98338482
REPARACIÓ DE CALÇAT;L'INSTANT;560;CR;Sant Antoni Maria Claret;3;;N;;;N;;BS;2;1154;485109;4647847;485015;4647642;2,81912094;41,98063805
GIMNÀS AMB PISCINA;AQUADONA;596;CR;Santa Eugènia;2;;N;;;N;;BS;;3917;485068;4648031;484974;4647826;2,81862134;41,9822945
SUPERMERCAT D'ALIMENTACIÓ;CAPRABO;612;CR;Sèquia;9;;N;0;;N;;BS;;3690;485227;4648141;485133;4647936;2,82053791;41,98328823
BAR;HAPPY;624;CT;Taialà;48;;N;;;N;;BS;;7509;484013;4649374;483919;4649169;2,80584947;41,99436968
BAR RESTAURANT (CAT. 3);CAFETERIA AROSA;56;CR;Barcelona;83;;N;;;N;;BS;2;1571;484798;4646892;484704;4646687;2,8153916;41,97203072
Vda.PLATS PRECUINATS I XARCUTERIA;L'ARBRE D'OR;89;PL;Francesc Calvet i Rubalcaba;12;;N;;;N;;BS;2;1341;485363;4647678;485269;4647473;2,8221912;41,97912069
CENTRE CONSULTES MEDIQUES;Gabinet de diagnosi i tractament;313;PL;Josep Pla;1;;N;;;N;;1;1;3707;485380;4648119;485286;4647914;2,82238541;41,98309295
BAR;NOU;322;AV;Amical Mauthausen;133;;N;;;N;;BS;4;7467;484619;4649168;484525;4648963;2,81317149;41,99252641
BAR RESTAURANT (CAT. 2);LA MANDARINA;74;CR;Tomás de Lorenzana;47;;N;;;N;;BS;2;1381;485085;4647630;484991;4647425;2,81883675;41,97868314
CARNISSERIA-XARCUTERIA;CARNISSERIA NARCÍS COLL;689;RB;Xavier Cugat;16;;N;;;N;;BS;5;7362;484908;4649160;484814;4648955;2,81666087;41,99245996
PAPERERIA - COPISTERIA;REPROGIR;334;AV;Lluís Pericot;34;;N;;;N;;BS;;2225;485489;4646647;485395;4646442;2,82373761;41,96983714
BAR;EL RACONET DE GIRONA;449;CR;Pau Casals;24;;N;;;N;;BS;2;4193;484597;4648116;484503;4647911;2,81293351;41,98305097
RESTAURANT;COAST TO COAST;454;CR;Pedret;136;;N;;;N;;BS;1;6724;485633;4649536;485539;4649331;2,82540476;41,99586005
FABRICACIÓ D'ARTICLES DE PA I BOLLERIA;MARRAKESCH;596;CR;Santa Eugènia;45;;N;;;N;;BS;2;5550;484591;4647730;484497;4647525;2,81287122;41,97957428
SERVEIS DE TINTORERIA;SERVISEC;386;CR;Migdia;90;;N;0;;N;;;;1655;485043;4646583;484949;4646378;2,81835648;41,96925235
TALLER MECÀNIC SENSE PINTURA;TRANSPORTS MATEU;722;CR;Sarrià de Ter;9;;N;0;;N;;;;5048;484138;4645842;484044;4645637;2,80745417;41,96256067
OFICINA BANCARIA;LA CAIXA;566;CT;Sant Feliu;31;;N;;;N;;BS;1;686;486716;4646764;486622;4646559;2,83854363;41,97091261
FORN DE PA I OBRADOR;Forn de pa Taiala;624;CT;Taialà;98;;N;;;N;;;;7703;483674;4649463;483580;4649258;2,80175404;41,9951643
EXPOSICIO MOTOCICLETES;;212;CR;Figuerola;56;;N;;;N;;;;3980;484991;4648329;484897;4648124;2,81768422;41,98497702
NOTARIA;ENRIC BRANCOS, ADVOCATS;56;CR;Barcelona;3;;N;;;N;;1;;1161;485113;4647916;485019;4647711;2,81916747;41,98125958
PERRUQUERIA;PERRUQUERIA FERRER;56;CR;Barcelona;81;;N;;;N;;BS;3;1572;484804;4646908;484710;4646703;2,8154636;41,97217494
BAR-RESTAURANT (CAT. 1);ACAPULCO;596;CR;Santa Eugènia;39;;N;;;N;;BS;2;5548;484622;4647712;484528;4647507;2,81324589;41,97941277
AUTOSERVEI D'ALIMENTACIÓ;DIA;228;CR;Francesc Artau;2;;N;;;N;;BS;2;5511;484577;4647619;484483;4647414;2,81270515;41,97857427
AUTOSERVEI D'ALIMENTACIÓ;DIA;21;AV;Mariano Álvarez de Castro;4;;N;0;;N;;BS;;1162;485127;4647926;485033;4647721;2,81933621;41,98134991
BAR;MARAGALL;296;CR;Joan Maragall;5;;N;;;N;;BS;1;1083;485395;4647855;485301;4647650;2,82257305;41,98071547
BAR-RESTAURANT (CAT. 1) AMB MÚSICA DE FONS AMBIENTAL;EL CUL DE LA LLEONA;88;CR;Calderers;8;;N;;;N;;BS;;6043;485536;4648609;485442;4648404;2,82425647;41,9875091
BAR-RESTAURANT (CAT. 2);DOLCE CAFÈ;140;PL;Catalunya;21;;N;;;N;;BS;4;1062;485409;4647951;485315;4647746;2,82273966;41,98158037
VENDA MAJOR DE PRODUCTES DE PASTISSERIA;DULCESOL;300;CR;Joan Torró i Cabratosa;22;;N;0;;N;;;;8842;483939;4645557;483845;4645352;2,80506051;41,95998972
