"Descripcio";"Nom_comercial";"Codi_carrer";"Codi_via";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"BAR";"PUENTE MAYOR";"281";"CR";"ILLA DE LA GOMERA";"8";"";"N";"";"";"N";"";"BS";"";"7133";"485396";"4650948";"2,82363197";"42,01041829"
"RESTAURANT";"TAJ INDIAN";"161";"CR";"CORT REIAL";"6";"";"N";"";"";"N";"";"BS";"";"5801";"485531";"4648109";"2,82533226";"41,98485096"
"TALLER OCUPACIONAL, RENTAT VEHICLES, CUINA CENTRAL , BUGADERIA D'AUTOSERVEI,  CENTRE COMPLEMENTARI";"TALLER MONTILIVI XIRGU";"718";"CR";"INDÚSTRIA";"22";"";"N";"0";"";"N";"";"";"";"9150";"483828";"4645869";"2,80483559";"41,96464294"
"TALLER SERRALLERIA METAL.LICA";"METÀL·LICS CABRATOSA";"721";"CR";"CAN PAU BIROL";"42";"";"N";"0";"";"N";"";"";"";"4864";"483550";"4645744";"2,80148419";"41,96351135"
"ELABORACIÓ I VENDA DE PA, PASTISSERIA I BOLLERIA";"FORN DE PA SANT ANTONI";"689";"RB";"XAVIER CUGAT";"6";"";"N";"";"";"N";"";"BS";"1";"7360";"484863";"4648951";"2,81724660";"41,99242200"
"RESTAURANT (SALA DE BANQUETS)";"EL CELLER DE CAN ROCA";"105";"CR";"CAN SUNYER";"48";"";"N";"0";"";"N";"";"";"";"8317";"484077";"4649061";"2,80775407";"41,99339723"
"BAR I VENDA DE CAFÈ";"EL CAFETI";"260";"GV";"JAUME I";"60";"";"N";"";"";"N";"";"BS";"1";"1147";"485054";"4647790";"2,81958212";"41,98196894"
"AUTOSERVEI D'ALIMENTACIÓ";"DIA";"56";"CR";"BARCELONA";"56";"";"N";"";"";"N";"";"BS";"";"1138";"484823";"4647239";"2,81680788";"41,97700186"
"VDA.MN. D'ELECTRODOMESTICS";"CALBET";"386";"CR";"MIGDIA";"4";"";"N";"0";"";"N";"";"";"";"1325";"485189";"4647351";"2,82122280";"41,97801757"
"BAR SENSE ELEMENTS DE COCCIÓ";"PORCUS";"140";"PL";"CATALUNYA";"25";"";"N";"";"";"N";"";"BS";"1";"1045";"485312";"4647780";"2,82269675";"41,98188372"
